유형명,용도명,수출국,원산지,품목,수출국,원산지,총수입건수,총수입중량(톤),총수입금액(천$),부적합건수,부적합중량(톤),부적합금액(천$),현품부재중량(톤),현품부재금액(천$)
,,,,구운김,,,34,2.24,156.6,1,0.03,5.1,0,0
,,,,구운김(세절),,,12,1.3,33.18,0,0,0,0,0
,,,,냉동가리비,,,176,"1,973.25","3,410.46",3,17.47,32.16,0,0
,,,,냉동가리비(외투막),,,411,"8,180.87","11,481",3,34.1,25.19,0,0
,,,,"냉동가리비(외투막,자숙)",,,1,0.75,1.5,0,0,0,0,0
,,,,냉동가리비(한쪽껍질붙은),,,"1,455","21,993.87","76,978.45",19,237.87,566.53,0,0
,,,,냉동가리비살,,,605,"8,451.29","34,943.19",2,12.27,27.78,0,0
,,,,"냉동가리비살(S,포장횟감)",,,6,8.74,111.22,1,0.77,8.67,0,0
,,,,냉동가리비살(자숙),,,321,"2,368.84","9,008.33",2,39,125.47,0,0
,,,,"냉동가리비살(자숙,S,포장횟감)",,,17,45.38,430.41,1,3.13,26.61,0,0
,,,,"냉동가리비살(자숙,포장횟감)",,,22,30.29,313.12,4,5.55,49.26,0,0
,,,,냉동가물치,,,71,73.87,257.81,1,0.2,0.64,0,0
,,,,냉동가물치(F),,,3,15.61,86.76,0,0,0,0,0
,,,,"냉동가물치(F,포장횟감)",,,31,130.98,897.89,2,9.25,59.81,0,0
,,,,"냉동가물치(F,횟감)",,,226,"1,782.02","9,592.6",7,45.58,214.3,0,0
,,,,냉동가물치(사두가물치),,,168,460.85,"1,859.21",5,42.97,188.62,0,0
,,,,냉동가오리,,,"16,497","188,942.22","408,717.14",42,583.4,"1,587.85",0,0
,,,,냉동가오리(노랑가오리),,,62,657.68,"1,125.33",0,0,0,0,0
,,,,냉동가오리(볼살),,,1,2.7,3.24,0,0,0,0,0
,,,,냉동가자미,,,"1,842","22,223.43","30,421.18",1,0.07,0.02,0.03,0.02
,,,,냉동가자미(F),,,209,"1,945.48","4,108.58",0,0,0,0,0
,,,,"냉동가자미(F,포장횟감)",,,5,8.62,66.56,1,1,28.93,0,0
,,,,냉동가자미(각시가자미),,,"6,463","334,209.87","470,449.75",2,13.2,12.67,0,0
,,,,"냉동가자미(각시가자미,F)",,,262,"2,847.03","10,152.62",0,0,0,0,0
,,,,냉동가자미(검정가자미),,,453,"8,356.62","55,899.54",0,0,0,0,0
,,,,"냉동가자미(검정가자미, 꼬리)",,,15,15.93,60.32,0,0,0,0,0
,,,,"냉동가자미(검정가자미,F)",,,101,735.89,"7,758.56",0,0,0,0,0
,,,,"냉동가자미(검정가자미,F,포장횟감)",,,27,120.78,"1,346.22",1,2,20.04,0,0
,,,,"냉동가자미(검정가자미,S,포장횟감)",,,41,41.29,792.5,2,0.34,5.73,0,0
,,,,"냉동가자미(검정가자미,머리)수출용원자재",,,38,207.59,837.09,0,0,0,0,0
,,,,냉동가자미(기름가자미),,,72,"1,002.58","1,143.36",0,0,0,0,0
,,,,"냉동가자미(기름가자미,S,포장횟감)",,,3,1.53,15.08,1,0.74,6.55,0,0
,,,,냉동가자미(까지가자미),,,"2,519","50,045.11","54,965.07",3,23.88,50.16,0,0
,,,,"냉동가자미(까지가자미,F)",,,20,29.27,110.36,0,0,0,0,0
,,,,"냉동가자미(까지가자미,F,포장횟감)",,,1,0.16,1.18,0,0,0,0,0
,,,,냉동가자미(넙치가자미),,,1,18.82,19.2,0,0,0,0,0
,,,,냉동가자미(노랑가자미),,,4,33.78,12.15,0,0,0,0,0
,,,,냉동가자미(돌가자미),,,26,998.43,769.77,0,0,0,0,0
,,,,냉동가자미(마설가자미),,,"1,008","7,690.79","76,034.14",0,0,0,0,0
,,,,"냉동가자미(마설가자미,F)",,,1,0.17,1.12,0,0,0,0,0
,,,,"냉동가자미(마설가자미,머리)수출용원자재",,,18,22.52,19.03,0,0,0,0,0
,,,,"냉동가자미(마설가자미,목살)",,,8,22.06,60.66,0,0,0,0,0
,,,,냉동가자미(마소치가자미),,,476,"3,311.07","5,635.73",0,0,0,0,0
,,,,"냉동가자미(마소치가자미,F)",,,2,5.52,18.43,0,0,0,0,0
,,,,냉동가자미(말가자미),,,289,"3,832.55","4,633.4",0,0,0,0,0
,,,,냉동가자미(매듭가자미),,,193,688.11,369.24,0,0,0,0,0
,,,,"냉동가자미(매듭가자미,F)",,,9,54.81,181.58,0,0,0,0,0
,,,,냉동가자미(물가자미),,,1,12,27.99,0,0,0,0,0
,,,,냉동가자미(별목탁가자미),,,1,0.12,0.07,0,0,0,0,0
,,,,냉동가자미(소주목탁가자미),,,"1,831","57,845.67","89,505.53",2,27.38,28.61,0,0
,,,,냉동가자미(용가자미),,,15,135.84,160.46,0,0,0,0,0
,,,,냉동가자미(장수기름가자미),,,226,"1,333.39","1,969.69",0,0,0,0,0
,,,,냉동가자미(점가자미),,,1,1.5,0.83,0,0,0,0,0
,,,,냉동가자미(주둥가자미),,,1,0.99,0.64,0,0,0,0,0
,,,,냉동가자미(찰가자미),,,45,30.43,210.03,0,0,0,0,0
,,,,냉동가자미(참가자미),,,34,466.17,335.19,0,0,0,0,0
,,,,냉동가자미(첨치가자미),,,343,"1,565.22","2,286.44",0,0,0,0,0
,,,,"냉동가자미(첨치가자미,F)",,,500,"8,658.18","23,873.19",0,0,0,0,0
