기준년월,	국가코드,	HSK품목코드,	수출입구분코드,	수출입구분명,	국가명,	경제권명,	수산물수출입품목명,	당월 수출입중량,	당월수출입미화금액,	당월 누계 수출입중량,	당월 누계 수출입미화금액,	데이터기준일자	
'201902','AE','0301998000','E','수출','아랍에미리트연합','걸프협력회의','넙치(활어)','246','7246','637','15582','20190331'
'201902','AE','0302290000','E','수출','아랍에미리트연합','걸프협력회의','기타 넙치류(간장/ 어란제외/신선/ 냉장/피레트/ 어육제외)','2','24','2','24','20190331'
'201902','AE','0302899090','E','수출','아랍에미리트연합','걸프협력회의','기타(신선 또는 냉장)(삼치/복어/병어/아귀 외 기타)','20','623','20','623','20190331'
'201902','AE','0303540000','E','수출','아랍에미리트연합','걸프협력회의','고등어(스콤버 스콤브루스/스콤버 오스트랄라시쿠스/스콤버 자포니쿠스)','2600','15157','2600','15157','20190331'
'201902','AE','0303599000','E','수출','아랍에미리트연합','걸프협력회의','기타','780','5837','780','5837','20190331'
'201902','AE','0303895000','E','수출','아랍에미리트연합','걸프협력회의','조기(냉동)','0','0','43','202','20190331'
'201902','AE','0303990000','E','수출','아랍에미리트연합','걸프협력회의','기타','0','0','1220','6076','20190331'
'201902','AE','0304499000','E','수출','아랍에미리트연합','걸프협력회의','기타(신선 또는 냉장한 피레트)','5','165','5','165','20190331'
'201902','AE','0304750000','E','수출','아랍에미리트연합','걸프협력회의','명태(냉동한 피레트)(테라그라 찰코그라마)','24021','85086','24021','85086','20190331'
'201902','AE','0304899000','E','수출','아랍에미리트연합','걸프협력회의','기타어류의 기타(냉동한 피레트)','571','4044','571','4044','20190331'
'201902','AE','0305593000','E','수출','아랍에미리트연합','걸프협력회의','명태(건조/염장불문/훈제제외)','50','979','50','985','20190331'
'201902','AE','0307492010','E','수출','아랍에미리트연합','걸프협력회의','갑오징어[세피아 오피시날리스(Sepia officinalis)ㆍ로시아 마크로소마(Rossia macrosoma)ㆍ세피올라(Sepiola)종]와 오징어[옴마스트레페스(Ommastrephes)종ㆍ로','369','3311','369','3311','20190331'
'201902','AE','0307519000','E','수출','아랍에미리트연합','걸프협력회의','기타문어(산것/신선/ 냉장)','24','424','24','424','20190331'
'201902','AE','0307719000','E','수출','아랍에미리트연합','걸프협력회의','클램/ 새조개 및 피조개 기타(산 것 / 신선 또는 냉장한 것)','2','20','2','20','20190331'
'201902','AE','0307810000','E','수출','아랍에미리트연합','걸프협력회의','전복(산 것 신선 또는 냉장한 것)','92','462','105','921','20190331'
'201902','AE','1212212010','E','수출','아랍에미리트연합','걸프협력회의','미역(건조한 것)(식용의 것)','911','11783','911','11783','20190331'
'201902','AE','1212214090','E','수출','아랍에미리트연합','걸프협력회의','파래(기타)(식용의 것)','0','0','28','1057','20190331'
'201902','AE','1212215090','E','수출','아랍에미리트연합','걸프협력회의','다시마(기타)(식용의 것)','63','641','63','641','20190331'
'201902','AE','1603004000','E','수출','아랍에미리트연합','걸프협력회의','어류의즙','360','499','360','499','20190331'
'201902','AE','1604141019','E','수출','아랍에미리트연합','걸프협력회의','다랭이류(다랭이/ 가다랭이 이외 기타/조제/밀폐용기에 넣은 것)','0','0','184','525','20190331'
'201902','AE','1604204090','E','수출','아랍에미리트연합','걸프협력회의','생선묵(게맛의 것 이외 기타)','0','0','1126','5349','20190331'
'201902','AE','1604209000','E','수출','아랍에미리트연합','걸프협력회의','어류조제/저장제품(생선 페이스트/마리네이드/소시지/생선묵)','665','2265','665','2265','20190331'
'201902','AE','1605101091','E','수출','아랍에미리트연합','걸프협력회의','붉은 대게살(밀폐용기에 넣은 것/ 훈제한 것 이외 기타)','0','0','545','11880','20190331'
'201902','AE','1605591010','E','수출','아랍에미리트연합','걸프협력회의','골뱅이(조제 또는 저장처리)(밀폐용기에 넣은 것)','192','2468','192','2468','20190331'
'201902','AE','2106904010','E','수출','아랍에미리트연합','걸프협력회의','김(조제한식용해초류)','2131','65346','2227','70237','20190331'
'201902','AE','2501009010','E','수출','아랍에미리트연합','걸프협력회의','식염','712','1456','1212','2121','20190331'
'201902','AR','1212212010','E','수출','아르헨티나','남미공동시장','미역(건조한 것)(식용의 것)','120','2000','120','2000','20190331'
'201902','AR','1604151000','E','수출','아르헨티나','남미공동시장','고등어(조제/밀폐용기에 넣은 것)','0','0','192','540','20190331'
'201902','AR','1604191010','E','수출','아르헨티나','남미공동시장','꽁치(통조림외조제품)','0','0','384','1424','20190331'
'201902','AR','1605591010','E','수출','아르헨티나','남미공동시장','골뱅이(조제 또는 저장처리)(밀폐용기에 넣은 것)','0','0','288','3435','20190331'
'201902','AR','2106904010','E','수출','아르헨티나','남미공동시장','김(조제한식용해초류)','203','6700','203','6700','20190331'
'201902','AT','1605511000','E','수출','오스트리아','유럽연합/경제협력개발기구','굴(조제 또는 저장처리)(밀폐용기에 넣은 것)','0','0','1260','12960','20190331'
'201902','AT','2106904010','E','수출','오스트리아','유럽연합/경제협력개발기구','김(조제한식용해초류)','0','0','1022','25544','20190331'
'201902','AT','2501009010','E','수출','오스트리아','유럽연합/경제협력개발기구','식염','1500','1732','1500','1732','20190331'
'201902','AU','0303540000','E','수출','호주','아시아.태평양 경제협력체/경제협력개발기구/환태평양경제동반자협정/역내포괄적경제동반자협정/포괄적.점진적 환태평양 경제동반자협졍','고등어(스콤버 스콤브루스/스콤버 오스트랄라시쿠스/스콤버 자포니쿠스)','538','4620','1708','16285','20190331'
